text,label,source,url
"The Super Bowl is the annual league championship game of the National Football League NFL of the United States. It has served as the final game of every NFL season since 1966, replacing the NFL Championship Game. Since 2022, the game has been played on the second Sunday in February. Prior Super Bowls were played on Sundays in early to mid-January from 1967 to 1978, late January from 1979 to 2003a and the first Sunday of February from 2004 to 2021. Winning teams are awarded the Vince Lombardi Trophy, named after the coach who won the first two Super Bowls. Because the NFL restricts the use of its Super Bowl trademark, it is frequently referred to as the big game or other generic terms by non-sponsoring corporations. The day the game is held is commonly referred to as Super Bowl Sunday or Super Sunday. The game was created as part of a 1966 merger agreement between the NFL and the competing American Football League AFL to have their best teams compete for a championship. It was originally called the AFLNFL World Championship Game until the Super Bowl moniker was adopted in 1969s Super Bowl III. The first four Super Bowls from 1967 to 1970 were played before the merger, with the NFL and AFL each winning two. After the merger in 1970, the 10 AFL teams and three NFL teams formed the American Football Conference AFC and the remaining 13 NFL teams formed the National Football Conference NFC. All games since 1971s Super Bowl V have been played between the two best teams from each conference, with the NFC leading the AFC 2827. Among the NFLs current 32 teams, 20 11 NFC, 9 AFC have won a Super Bowl and 16 8 AFC, 8 NFC hold multiple titles. The AFCs Pittsburgh Steelers and New England Patriots have the most Super Bowl titles at six each. The Patriots also have the most Super Bowl appearances at 12, and the most Super Bowl losses at six. The Baltimore Ravens of the AFC and the Tampa Bay Buccaneers of the NFC are the only franchises to be undefeated in multiple Super Bowls, having each won two. Among the 12 teams who have not won a Super Bowl, the NFCs Detroit Lions and the AFCs Jacksonville Jaguars, Houston Texans, and Cleveland Browns are the only four to have not appeared in the game. The Super Bowl is among the top-ten worlds most-watched sporting events and frequently commands the largest audience among all American broadcasts during the year. Its viewership is bested by the UEFA Champions League final, FIFA World Cup, Tour de France, Cricket World Cup, FIFA Womens World Cup, Summer Olympic Games, and the Winter Olympic games as the most watched sporting event worldwide,1 and the seven most-watched broadcasts in American television history are Super Bowls.2 Its halftime shows feature top artists, the most recent of which being Bad Bunny. Headlining a Super Bowl is considered one of the highest honors in music.32 Commercial airtime during the Super Bowl broadcast is the most expensive of the year because of the high viewership, leading to companies regularly developing their most unique advertisements for the broadcast and commercial viewership becoming an integral part of the event. The Super Bowl is also the second-largest event for American food consumption, behind Thanksgiving dinner.4 Since the turn of the 20th century, college football teams from across the United States have scheduled bowl games against each other. The original bowl game was the Rose Bowl Game in Pasadena, California, which was first played in 1902 as the Tournament EastWest football game as part of the Pasadena Tournament of Roses. In 1923, the Tournament East-West football game moved to the new Rose Bowl Stadium the stadium got its name from the fact that the game played there was part of the Tournament of Roses and that it was shaped like a bowl, much like the Yale Bowl in New Haven, Connecticut. The Tournament of Roses football game thus eventually came to be known as the Rose Bowl Game. Exploiting the Rose Bowl Games popularity, post-season college football contests were created for Miami the Orange Bowl, New Orleans the Sugar Bowl, and El Paso the Sun Bowl in 1935, and for Dallas the Cotton Bowl in 1937. By the time the first Super Bowl was played, the term bowl for any major American football game was well established.5 For four decades after its 1920 inception, the NFL successfully fended off several rival leagues. In 1960, it encountered its most serious competitor when the American Football League AFL was formed. The AFL vied with the NFL for players and fans. After the AFLs inaugural season, AFL commissioner Joe Foss sent an invitation to the NFL on January 14, 1961, to schedule a World Playoff game between the two leagues champions, beginning with the upcoming 1961 season.6 The first World Playoff game, if actually played, would have matched up the AFL champion Houston Oilers against the NFL champion Green Bay Packers.7 In the mid-1960s, Lamar Hunt, owner of the AFLs Kansas City Chiefs, first used the term Super Bowl8 to refer to the AFLNFL championship game in the merger meetings. Hunt later said the name was likely in his head because his children had been playing with a Super Ball toy9 a vintage example of the ball is on display at the Pro Football Hall of Fame in Canton, Ohio. In a July 25, 1966, letter to NFL commissioner Pete Rozelle, Hunt wrote, I have kiddingly called it the Super Bowl, which obviously can be improved upon.",sports,wikipedia,https://en.wikipedia.org/wiki/Super_Bowl
The boxing champion successfully defended his title with a knockout in the eighth round. His superior technique and conditioning were evident throughout the fight. He remains undefeated in his professional career.,sports,synthetic,
"The G20 or Group of 20 is an intergovernmental forum comprising 19 sovereign countries, the European Union EU, and the African Union AU.23 It works to address major issues related to the global economy, such as international financial stability, climate change mitigation and sustainable development, through annual meetings of heads of state and heads of government.4 The 19 member states of the G20 account for around 85 of gross world product GWP,5 75 of international trade, 56 of the global population,5 and 60 of the worlds land area including the EU and AU, the G20 comprises 78.9 of global population and 83.9 of global CO2 emissions from fossil energy.6 The G20 was founded in 1999 in response to several world economic crises.7 Since 2008, it has convened at least once a year, with summits involving each members head of government or state, finance minister, or foreign minister, and other high-ranking officials the EU is represented by the European Commission and the European Central Bank.89b Other countries, international organizations, and nongovernmental organizations are invited to attend the summits, some permanently. The African Union joined as the 21st member at the 2023 summit in India and was officially represented at the 2024 summit in Brazil. In its 2009 summit, the G20 declared itself the primary venue for international economic and financial cooperation.10 The groups stature has risen during the subsequent decade, and it is recognised by analysts as exercising considerable global influence11 it is also criticised for its limited membership,12 lack of enforcement powers,13 and for the alleged undermining of existing international institutions.12 Summits are often met with protests, particularly by anti-globalization groups.1415 The G20 is the latest in a series of postWorld War II initiatives aimed at international coordination of economic policy, which include institutions such as the Bretton Woods twins, the International Monetary Fund and the World Bank, and what is now the World Trade Organization.16 The G20 was foreshadowed at the Cologne summit of the G7 in June 1999, and formally established at the G7 Finance Ministers meeting on 26 September 1999 with an inaugural meeting on 1516 December 1999 in Berlin. Canadian finance minister Paul Martin was chosen as the first chairman and German finance minister Hans Eichel hosted the meeting.17 A 2004 report by Colin I. Bradford and Johannes F. Linn of the Brookings Institution asserted the group was founded primarily at the initiative of Eichel, the concurrent chair of the G7.18 However, Bradford later described then-Finance Minister of Canada and future Prime Minister of Canada Paul Martin as the crucial architect of the formation of the G20 at finance minister level, and as the one who later proposed that the G20 countries move to leaders level summits.19 Canadian academic and journalistic sources have also identified the G20 as a project initiated by Martin and his American counterpart then-Treasury Secretary Larry Summers.20212223 All acknowledge, however, that Germany and the United States played a key role in bringing their vision into reality.citation needed Martin and Summers conceived of the G20 in response to the series of massive debt crises that had spread across emerging markets in the late 1990s, beginning with the Mexican peso crisis and followed by the 1997 Asian financial crisis, the 1998 Russian financial crisis, and eventually impacting the United States, most prominently in the form of the collapse of the prominent hedge fund Long-Term Capital Management in the autumn of 1998.202122 It illustrated to them that in a rapidly globalizing world, the G7, G8, and the Bretton Woods system would be unable to provide financial stability, and they conceived of a new, broader permanent group of major world economies that would give a voice and new responsibilities in providing it.2022 The G20 membership was decided by Eichels deputy Caio Koch-Weser and Summerss deputy Timothy Geithner. According to the political economist Robert Wade",politics,wikipedia,https://en.wikipedia.org/wiki/G20
The trade representative negotiated market access provisions for agricultural exports. Farmers and ranchers welcomed the expanded opportunities abroad. The agreement requires congressional ratification to take effect.,politics,extended_synthetic,
The golfer sank a 40-foot birdie putt on the 72nd hole to win the tournament. His calm demeanor under pressure separated him from the field. This victory qualifies him for next year's Masters.,sports,extended_synthetic,
The referendum on constitutional amendments passed with strong support. Citizens voted to strengthen anti-corruption provisions and term limits. The changes take effect next year.,politics,synthetic,
The diver performed a reverse three-and-a-half somersault with minimal splash. The judges awarded near-perfect scores for technique and execution. This dive secured her second Olympic gold medal.,sports,extended_synthetic,
The gymnast executed a flawless routine on the balance beam to claim gold. Her difficulty score and perfect execution impressed judges and spectators alike. Years of training culminated in this Olympic moment.,sports,extended_synthetic,
"The North Atlantic Treaty Organization NATOa is an intergovernmental military alliance between 32 member states30 in Europe and 2 in North America. Founded in the aftermath of World War II, NATO was established with the signing of the North Atlantic Treaty in 1949. The organization serves as a system of collective security, whereby its independent member states agree to mutual defence in response to an attack by any outside party. This is enshrined in Article 5 of the treaty, which states that an armed attack against one member shall be considered an attack against them all. Throughout the Cold War, NATOs primary purpose was to deter and counter the threat posed by the Soviet Union and its satellite states, which formed the rival Warsaw Pact in 1955. Following the dissolution of the Soviet Union in 1991, the alliance adapted, conducting its first major military interventions in Bosnia and Herzegovina 19921995 and Yugoslavia 1999. Article 5 was invoked for the first and only time after the September 11 attacks, leading to the deployment of NATO troops to Afghanistan as part of the International Security Assistance Force ISAF. The alliance has since been involved in a range of roles, including training in Iraq, intervention in Libya in 2011, and countering piracy. Since the end of the Cold War, the alliance has accepted sixteen new members, incorporating former Warsaw Pact countries and post-Soviet states. NATO and Russia have co-operated, but Russian leaders have called this eastward enlargement a threat to its security interests, and oppose Ukraine joining NATO. The Russian annexation of Crimea in 2014 prompted strong condemnation from NATO and a renewed focus on collective defence. The 2022 Russian invasion of Ukraine led to a major reinforcement of NATOs eastern flank and caused Finland and Sweden to abandon their neutral status and join the alliance. NATO recognizes Bosnia and Herzegovina, Ukraine and Georgia as aspiring members. NATOs main headquarters are in Brussels, Belgium, while its military headquarters are near Mons, Belgium. The combined militaries of all NATO members include approximately 3.5 million soldiers and personnel. Their combined military spending constitutes over half of the global total. Members have committed to a target of spending at least 5 of their gross domestic product GDP on defence to ensure the alliances continued military readiness.5 NATO has its roots in the Atlantic Charter, a 1941 agreement between the United States and United Kingdom. The Charter laid out a framework for international cooperation without territorial expansion after World War II.6 On 4 March 1947, the Treaty of Dunkirk was signed by France and the United Kingdom during the aftermath of World War II and the start of the Cold War as a Treaty of Alliance and Mutual Assistance in the event of possible attacks by Germany. In March 1948, this alliance was expanded in the Treaty of Brussels to include the Benelux countries, forming the Brussels Treaty Organization, commonly known as the Western Union.7 Talks for a wider military alliance, which could include North America, also began that month in the United States, where their foreign policy under the Truman Doctrine set out in 1947 promoted international solidarity against actions they saw as communist aggression, such as the February 1948 coup détat in Czechoslovakia. These talks resulted in the signature of the North Atlantic Treaty on 4 April 1949 by the member states of the Western Union plus the United States, Canada, Portugal, Italy, Norway, Denmark, and Iceland.8 Canadian diplomat Lester B. Pearson was a key author and drafter of the treaty.91011 The North Atlantic Treaty was largely dormant until the Korean War initiated the establishment of NATO to implement it with an integrated military structure. This included the formation of Supreme Headquarters Allied Powers Europe SHAPE in 1951, which adopted many of the Western Unions military structures and plans,12 including their agreements on standardizing equipment and agreements on stationing foreign military forces in European countries. In 1952, the post of Secretary General of NATO was established as the organizations chief civilian. That year also saw the first major NATO maritime exercises, Exercise Mainbrace and the accession of Greece and Turkey to the organization.1314 Following the London and Paris Conferences, West Germany was permitted to rearm militarily, as they joined NATO in May 1955, which was, in turn, a major factor in the creation of the Soviet-dominated Warsaw Pact, delineating the two opposing sides of the Cold War.15 The building of the Berlin Wall in 1961 marked a height in Cold War tensions, when 400,000 US troops were stationed in Europe.16 Doubts over the strength of the relationship between the European states and the United States ebbed and flowed, along with doubts over the credibility of the NATO defence against a prospective Soviet invasion  doubts that led to the development of the independent French nuclear deterrent and the withdrawal of France from NATOs military structure in 1966.1718 In 1982, the newly democratic Spain joined the alliance.19 The Revolutions of 1989 in Europe led to a strategic re-evaluation of NATOs purpose, nature, tasks, and focus on the continent. In October 1990, East Germany became part of the Federal Republic of Germany and the alliance, and in November 1990, the alliance signed the Treaty on Conventional Armed Forces in Europe CFE in Paris with the Soviet Union. It mandated specific military reductions across the continent, which continued after the collapse of the Warsaw Pact in February 1991 and the dissolution of the Soviet Union that December, which removed the de facto main adversaries of NATO.20 This began a drawdown of military spending and equipment in Europe. The CFE treaty allowed signatories to remove 52,000 pieces of conventional armaments in the following sixteen years,21 and allowed military spending by NATOs European members to decline by 28 percent from 1990 to 2015.22 In 1990, several Western leaders gave assurances to Mikhail Gorbachev that NATO would not expand further east, as revealed by memoranda of private conversations.23242526 In the 1990s, the organization extended its activities into political and humanitarian situations that had not formerly been NATO concerns.27 During the breakup of Yugoslavia, the organization conducted its first military interventions in Bosnia from 1992 to 1995 and later Yugoslavia in 1999.28",politics,wikipedia,https://en.wikipedia.org/wiki/NATO
The prime minister addressed the nation regarding the new foreign policy initiative. The speech emphasized international cooperation and diplomatic engagement. Allied nations expressed support for the approach.,politics,synthetic,
The track and field athlete threw a personal best in the javelin competition. The throw of 85 meters secured the gold medal. Years of training finally paid off.,sports,synthetic,
"This is an accepted version of this page Minority 47 Minority 214 Vacant 3 The United States Congress is the legislative branch of the federal government of the United States. It is a bicameral legislature, including a lower body, the U.S. House of Representatives, and an upper body, the U.S. Senate. They both meet in the United States Capitol in Washington, D.C. Members of Congress are chosen through direct election,b though vacancies in the Senate may be filled by a governors appointment. Congress has a total of 535 voting members, a figure which includes 100 senators and 435 representatives the House of Representatives has 6 additional non-voting members. The vice president of the United States, as president of the Senate, has a vote in the Senate only when there is a tie.2 Congressc convenes for a two-year term a Congress, commencing every other January. Each Congress is usually split into two sessions, one for each year. Elections are held every even-numbered year on Election Day. The members of the House of Representatives are elected for the two-year term of a Congress. The Reapportionment Act of 1929 established that there be 435 representatives, and the Uniform Congressional District Act requires that they be elected from single-member constituencies or districts. It is also required that the congressional districts be apportioned among states by population every ten years using the U.S. census results, provided that each state has at least one congressional representative. Each senator is elected at-large in their state for a six-year term, with terms staggered, so every two years approximately one-third of the Senate is up for election. Each state, regardless of population or size, has two senators, so currently, there are 100 senators for the 50 states. Article One of the Constitution requires that members of Congress be at least 25 years old for the House and at least 30 years old for the Senate, be a U.S. citizen for seven years for the House and nine years for the Senate, and be an inhabitant of the state which they represent. Members in both chambers may stand for re-election an unlimited number of times. Congress was created by the Constitutions First Article and first met in 1789, replacing the Congress of the Confederation in its legislative function. Although not legally mandated, in practice members of Congress since the late 19th century are typically affiliated with one of the two major parties, the Democratic Party or the Republican Party, and only rarely with a third party or independents affiliated with no party. Members can also switch parties at any time, though this is uncommon.",politics,wikipedia,https://en.wikipedia.org/wiki/United_States_Congress
The ambassador presented credentials to the host nation's head of state. This marks a new chapter in bilateral relations between the countries. Trade and cultural exchanges are expected to increase significantly.,politics,extended_synthetic,
"The United Nations UN is a global intergovernmental organization established by the signing of the UN Charter on 26 June 1945 with the articulated mission of maintaining international peace and security, to develop friendly relations among states, to promote international cooperation, and to serve as a centre for harmonizing the actions of states in achieving those goals. The United Nations headquarters is located in New York City, with several other offices located in Geneva, Nairobi, Vienna, and The Hague. The UN comprises six principal organizations the General Assembly, the Security Council, the Economic and Social Council, the International Court of Justice, the Secretariat, and the Trusteeship Council which, together with several specialized agencies and related agencies, make up the United Nations System. There are in total 193 member states, representing nearly all of the worlds sovereign states, as well as two observer states, the Holy See and Palestine. The UN has primarily focused on economic and social development, particularly during the wave of decolonization in the mid-20th century. The UN currently operates 11 peacekeeping missions, by order of inception, in the Middle East, Kashmir, Cyprus, the Golan Heights, Lebanon, the Western Sahara, Kosovo, Democratic Republic of the Congo, Sudan, South Sudan, and the Central African Republic. The UN has been recognized as a leader of peace and human development, with many officers and agencies having been awarded the Nobel Peace Prize, but has also been criticized for perceived ineffectiveness, bias, and corruption. In the century prior to the UNs creation, several international organizations such as the International Committee of the Red Cross were formed to ensure protection and assistance for victims of armed conflict and strife.4 During World War I, several major leaders, especially U.S. president Woodrow Wilson, advocated for a world body to guarantee peace. The winners of the war, the Allies, met to decide on formal peace terms at the Paris Peace Conference. The League of Nations was approved and started operations, but the United States never joined. On 10 January 1920, the League of Nations formally came into being when the Covenant of the League of Nations, ratified by 42 nations in 1919, took effect.5 The League Council acted as an executive body directing the Assemblys business. It began with four permanent membersthe United Kingdom, France, Italy, and Japan. After some limited successes and failures during the 1920s, the League proved ineffective in the 1930s, as it failed to act against the Japanese invasion of Manchuria in 1933.citation needed Forty nations voted for Japan to withdraw from Manchuria but Japan voted against it and walked out of the League instead of withdrawing from Manchuria.6 It also failed to act against the Second Italo-Ethiopian War, after the appeal for international intervention by Ethiopian Emperor Haile Selassie I at Geneva in 1936 went with no avail, including when calls for economic sanctions against Italy failed. Italy and other nations left the League.7 When World War II broke out in 1939, the League effectively closed down.8 The first step towards the establishment of the United Nations was the Inter-Allied Conference in London that led to the Declaration of St Jamess Palace on 12 June 1941.910 By August 1941, American president Franklin Roosevelt and British prime minister Winston Churchill had drafted the Atlantic Charter which defined goals for the post-war world. At the subsequent meeting of the Inter-Allied Council in London on 24 September 1941, the eight governments in exile of countries under Axis occupation, together with the Soviet Union and representatives of the Free French Forces, unanimously adopted adherence to the common principles of policy set forth by Britain and the United States.1112 Roosevelt and Churchill met at the White House in December 1941 for the Arcadia Conference. Roosevelt is considered a founder of the UN,1314 and coined the term United Nations to describe the Allied countries.15 Churchill accepted it, noting its use by Lord Byron.16 The text of the Declaration by United Nations was drafted on 29 December 1941, by Roosevelt, Churchill, and Harry Hopkins. It incorporated Soviet suggestions but included no role for France. One major change from the Atlantic Charter was the addition of a provision for religious freedom, which Stalin approved after Roosevelt insisted.1718",politics,wikipedia,https://en.wikipedia.org/wiki/United_Nations
The fast bowler took six wickets in a devastating spell of swing bowling. The opposition batting lineup collapsed from 150 for two to all out for 180. His figures of six for 35 earned him player of the match honors.,sports,extended_synthetic,
The civil service commission addressed workforce development and retention. Competitive salaries are necessary to attract qualified candidates. A recruitment initiative targets recent graduates and career changers.,politics,extended_synthetic,
The swimming champion won four gold medals at the world championships. Her versatility across different strokes impressed coaches and competitors alike. She broke two national records.,sports,synthetic,
The volleyball team won the championship with a straight-sets victory in the final. Their blocking and serving were exceptional. The setter orchestrated the offense brilliantly.,sports,synthetic,
The judicial nomination advanced through committee despite partisan objections. The nominee's record on consumer protection drew scrutiny from senators. A floor vote is scheduled for next week.,politics,extended_synthetic,
